time [ns],ax [m s-2],ay [m s-2],az [m s-2],p [rad/s],q [rad/s],r [rad/s]
1244630000,-4.162543945312501,15.0550927734375,-1.0969189453125001,-0.20666128394539207,-0.07137271721412358,-0.40693098127459393
1247626000,4.5936474609375,4.0284228515625005,-3.0895751953125004,-0.34301514840220587,0.07669903939428206,0.8884304730714067
1248625000,2.8165429687500003,7.8700341796875,-4.608017578125001,-0.532632184726334,-0.05432848207642726,0.3387540906580791
1253620000,0.7520361328125,5.72888671875,-3.4248779296875003,-0.1555286076606275,0.12357066625729823,0.6317018105667953
1255617000,3.7218603515625004,9.7668896484375,-3.9853125,-0.3408846195301425,-0.06285059756468081,0.6317018105667953
1258614000,-3.4344580078125,10.202783203125,-0.1389111328125,0.004261057484052456,-0.002130528742026228,-0.6753776524440948
1261611000,1.5328125000000001,7.7454931640625,-5.7336767578125,-0.357928817217136,-0.011717907756051346,0.7307713365387157
1262610000,4.914580078125001,11.5679443359375,-3.1662158203125004,-0.28868666216458944,-0.08202536157444053,0.7829692939042687
1265606000,-2.8165429687500003,7.4868310546875,-0.8382568359375,-0.10652643528079112,0.03728425526110934,-0.5123921604417317
1267604000,-2.7973828125,7.549101562500001,-6.2797412109375,-0.3941478080422136,-0.04793689546023708,-0.18535599522475815
1268603000,0.613125,11.213481445312501,-5.048701171875,-0.3941478080422136,-0.07350324608618697,0.2918824554726845
1271600000,2.2704785156250002,4.61759765625,-0.3065625,0.03621899082507764,0.10652643528079112,0.34194988396617415
1273598000,-2.289638671875,5.700146484375001,-5.3983740234375,-0.3504719661649141,-0.08522115488253562,-0.45699840976808365
1276594000,-0.6753955078125,11.649375000000001,-0.59396484375,-0.008522114968104911,0.056459010948490644,0.2237055149218992
1278592000,3.755390625,0.6035449218750001,-3.0799951171875,0.01810949541253882,0.14274543442824716,0.8426241023220437
1279591000,3.1805859375,2.921923828125,-4.675078125000001,-0.2631202990550719,0.027696873256229475,0.5475458868307778
1282588000,-3.58294921875,14.7581103515625,-0.5077441406250001,-0.09267799761237908,-0.06285059756468081,-0.7925566738285541
1285584000,2.634521484375,3.8655615234375,-4.952900390625,-0.17257283863713463,0.10972222858888621,0.9832390078782275
1287582000,3.879931640625,14.724580078125001,-0.258662109375,-0.26525082792713534,-0.069242184180871,0.40266992353046716
1288581000,0.6179150390625,12.97142578125,-0.5508544921875,-0.06391586200071252,-0.08309062601047222,-0.38456042811792834
1292577000,0.36404296875000003,9.695039062500001,-3.8655615234375,-0.24501080364253308,0.07989483270237714,0.7488808319512545
1294574000,5.431904296875,11.2278515625,-0.229921875,-0.10546117084475942,-0.008522114968104911,0.7765777072880785
1297571000,-4.837939453125,7.3814501953125005,-4.0188427734375,-0.1565938720966592,0.007456850532073217,-0.7701861206718884
1298570000,-4.3301953125,9.417216796875001,-3.35302734375,-0.2269013082299943,0.035153726389045944,-0.30679615757712825
1299569000,-1.101708984375,11.3763427734375,-2.002236328125,-0.22903183710205768,0.046871631024205385,0.3888214858620551
1302566000,4.243974609375,4.9289501953125,-3.27638671875,-0.069242184180871,0.04261057744126781,0.2737729434153889
1304563000,-3.0320947265625002,8.5789599609375,-2.1890478515625,-0.039414784133172724,-0.001065264371013114,-0.4229099478150694
1307560000,0.8286767578125,9.613608398437501,-2.3423291015625,-0.10333064197269604,0.039414784133172724,0.19494337514904342
1308559000,2.0166064453125,9.6998291015625,-3.0273046875,-0.0671116553088076,0.07350324608618697,0.37710357706570646
1309558000,1.51365234375,7.6209521484375005,-3.036884765625,0.03621899082507764,0.09587379092047416,0.45699840976808365
1312555000,-0.3065625,10.0734521484375,-1.2693603515625,-0.06285059756468081,-0.05326321764039556,-0.20559601950936035
