time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
937500000,-0.429626,0.95839,2.846636,-0.113641,0.987532,0.097415,0.048745
950000000,-0.42868900000000004,0.961834,2.845868,-0.106814,0.9887100000000001,0.094442,0.046093
962499999,-0.42723999999999995,0.9642270000000001,2.845062,-0.1062,0.9884850000000001,0.096372,0.048284
974999999,-0.426892,0.9663229999999999,2.845022,-0.08211900000000001,0.993858,0.064098,0.03735
987500000,-0.423904,0.9713299999999999,2.842971,-0.115168,0.986505,0.107359,0.044919
1000000000,-0.422371,0.9733229999999999,2.842241,-0.12306199999999999,0.985856,0.105522,0.042535
1012500000,-0.421335,0.9748290000000001,2.841839,-0.11638499999999999,0.9883649999999999,0.091087,0.035953
1024999999,-0.42043100000000005,0.9762219999999999,2.841354,-0.10506700000000001,0.99085,0.078111,0.0328
1037499999,-0.416329,0.981089,2.839769,-0.147983,0.979461,0.126825,0.051703
1050000000,-0.41582299999999994,0.9819709999999999,2.838304,-0.125961,0.9842350000000001,0.115479,0.045611
1062500000,-0.414063,0.983474,2.8373720000000002,-0.134665,0.9835969999999999,0.11249300000000001,0.041804
1075000000,-0.413308,0.984553,2.836616,-0.12623199999999998,0.9861549999999999,0.101649,0.035089999999999996
1087499999,-0.412077,0.985244,2.835808,-0.130493,0.985985,0.099871,0.028827
1099999999,-0.41121,0.986419,2.835298,-0.12204200000000001,0.9885209999999999,0.085576,0.024691
1112500000,-0.410265,0.987242,2.834628,-0.118902,0.989725,0.076526,0.021238999999999997
1125000000,-0.409301,0.987874,2.834015,-0.11482300000000001,0.9909690000000001,0.067281,0.016441
1137500000,-0.40841,0.9887229999999999,2.833438,-0.11125399999999999,0.9920700000000001,0.057204,0.012167
1149999999,-0.405034,0.9922620000000001,2.831327,-0.13897,0.98556,0.093599,0.024446000000000002
1162499999,-0.40419299999999997,0.9930120000000001,2.830915,-0.137032,0.98656,0.08647,0.02109
1175000000,-0.40314099999999997,0.9942850000000001,2.830389,-0.128183,0.9886219999999999,0.075529,0.022157
1187500000,-0.401816,0.996502,2.829813,-0.114559,0.9907799999999999,0.067316,0.026454000000000002
1200000000,-0.40074099999999996,0.997767,2.829423,-0.108609,0.992051,0.058388,0.025097
