Sequence,Obstacle x,Obstacle y,Obstacle z,Lux,OptiTrack initial y rotation offset,Incl. Video
121,-1.268,1.7456,2.4069,100,-1.41371669411541,1
122,-1.268,1.7456,2.4069,100,-1.41371669411541,1
123,-1.268,1.7456,2.4069,100,-1.41371669411541,1
124,-1.268,1.7456,2.4069,100,-1.41371669411541,1
125,-1.268,1.7456,2.4069,100,-1.41371669411541,1
126,-1.268,1.7456,2.4069,100,-1.41371669411541,1
127,-1.268,1.7456,2.4069,100,-1.41371669411541,1
128,-1.268,1.7456,2.4069,100,-1.41371669411541,1
129,-1.268,1.7456,2.4069,100,-1.41371669411541,1
130,-1.268,1.7456,2.4069,100,-1.41371669411541,1
131,-1.268,1.7456,2.4069,100,-1.41371669411541,1
132,-1.268,1.7456,2.4069,100,-1.41371669411541,1
133,-1.268,1.7456,2.4069,100,-1.41371669411541,1
134,-1.268,1.7456,2.4069,100,-1.41371669411541,1
135,-1.268,1.7456,2.4069,100,-1.41371669411541,1
136,-1.268,1.7456,2.4069,100,-1.41371669411541,1
137,-1.268,1.7456,2.4069,100,-1.41371669411541,1
138,-1.268,1.7456,2.4069,100,-1.41371669411541,1
139,-1.268,1.7456,2.4069,100,-1.41371669411541,1
140,-1.268,1.7456,2.4069,100,-1.41371669411541,1
141,-1.268,1.7456,2.4069,100,-1.41371669411541,1
142,-1.268,1.7456,2.4069,100,-1.41371669411541,1
143,-1.268,1.7456,2.4069,100,-1.41371669411541,1
144,-1.268,1.7456,2.4069,100,-1.41371669411541,1
145,-1.268,1.7456,2.4069,100,-1.41371669411541,1
146,-1.268,1.7456,2.4069,100,-1.41371669411541,1
147,-1.268,1.7456,2.4069,100,-1.41371669411541,1
148,-1.268,1.7456,2.4069,100,-1.41371669411541,1
149,-1.268,1.7456,2.4069,100,-1.41371669411541,1
150,-1.268,1.7456,2.4069,100,-1.41371669411541,1
151,-1.268,1.7456,2.4069,100,-1.41371669411541,1
152,-1.268,1.7456,2.4069,100,-1.41371669411541,1
153,-1.268,1.7456,2.4069,100,-1.41371669411541,1
154,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
155,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
156,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
157,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
158,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
159,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
160,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
161,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
162,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
163,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
164,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
165,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
166,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
167,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
168,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
169,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
170,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
171,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
172,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
173,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
174,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
175,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
176,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
177,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
178,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
179,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
180,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
181,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
182,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
183,-1.1786,1.7832,-0.9783,100,-1.41371669411541,1
